gene_symbol_mouse,number_tissues_cycling,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
E2f6,4,NULL,NULL,21,21,NULL,NULL,NULL,20,23,NULL,NULL,NULL
Exoc4,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Hyal1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,19,14,NULL,NULL
Fap,1,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gga2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,20,NULL,NULL,NULL
Adcy9,4,NULL,9,10,NULL,NULL,NULL,NULL,NULL,5,11,NULL,NULL
Aga,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aqp9,2,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,7,NULL,NULL,NULL
Atox1,2,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Bcat1,2,NULL,NULL,NULL,NULL,19,NULL,NULL,8,NULL,NULL,NULL,NULL
Bnip3l,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Calu,2,NULL,NULL,4,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Cdc34,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL
Cdc5l,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Celf2,1,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL
Chka,5,21,NULL,NULL,NULL,NULL,18,19,21,22,NULL,NULL,NULL
Acacb,4,NULL,10,12,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,16
Cpox,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Dock2,2,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Emcn,4,19,NULL,16,NULL,NULL,NULL,NULL,22,NULL,4,NULL,NULL
Prkar1b,2,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Ptbp2,2,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,6,NULL,NULL,NULL
Ptprn2,1,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rad18,3,NULL,NULL,NULL,NULL,NULL,8,10,NULL,NULL,NULL,NULL,8
Ramp1,1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mbl1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,23,NULL,NULL,NULL
Myo9b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Slco1b2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL
Sntb2,3,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,18
Ss18,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Stx7,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,14,NULL,NULL
Tnfrsf19,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,0,3,NULL
Tpm1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Papss2,4,NULL,16,18,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,17
Pelp1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Insig1,5,NULL,NULL,NULL,NULL,7,2,NULL,20,19,NULL,1,NULL
Lasp1,4,0,0,NULL,NULL,NULL,22,NULL,NULL,23,NULL,NULL,NULL
Ldlrap1,2,NULL,8,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Il13ra1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,1,NULL,NULL
Irgm1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Lgals3bp,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Syne2,2,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,10
Slc7a2,7,8,NULL,NULL,15,16,11,NULL,NULL,8,12,16,NULL
Sord,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,15,12,NULL,NULL
Picalm,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Pkn2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Plscr1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Psmd13,2,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,7,NULL,NULL
Pvrl3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Ramp3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Mafk,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL
Med12,6,NULL,6,8,NULL,9,NULL,10,NULL,23,7,NULL,NULL
Urod,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,11,NULL,NULL
Nfyc,1,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nolc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL
Rfc4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,17,NULL,NULL
Sfxn1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,0,NULL
Eif2b5,1,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Enpep,6,NULL,3,0,NULL,NULL,3,NULL,NULL,17,NULL,1,0
Arid1a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Gpam,6,8,8,8,NULL,NULL,NULL,8,NULL,19,NULL,9,NULL
Hdgf,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,18,12,NULL,NULL
Fkbp1b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Flcn,4,NULL,8,10,NULL,NULL,NULL,NULL,NULL,6,11,NULL,NULL
Flot2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Fstl3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Fubp1,5,NULL,19,19,NULL,22,NULL,21,20,NULL,NULL,NULL,NULL
Gcgr,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Cstf2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,18,NULL,NULL
Ctns,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Cct5,3,NULL,NULL,NULL,NULL,NULL,NULL,20,20,17,NULL,NULL,NULL
Ces1g,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Adamts9,3,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,4,NULL,NULL,6
Aco2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL
Gpd2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Gtf2h3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Dynlt1b,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,10,NULL,NULL
Aspa,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,17,NULL,NULL,NULL
Atp6v1e1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Bbs4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Bckdha,3,NULL,7,10,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Blk,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
C6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Cbx2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Chmp2b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Clec16a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Rcor1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,23,NULL,NULL,NULL
Sema5a,5,NULL,NULL,2,NULL,21,1,NULL,NULL,NULL,14,4,NULL
4-Sep,3,21,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,23
Sf3b1,2,NULL,8,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL
Sgcb,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Mgat1,2,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Mta2,1,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc1a5,8,9,11,NULL,12,NULL,13,NULL,13,18,12,NULL,13
Slc27a1,4,NULL,10,11,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,12
Slc31a1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Snrpd3,3,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,22
Igj,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Ikzf3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Trim63,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,23,NULL
Plk3,4,NULL,NULL,NULL,NULL,NULL,NULL,7,12,NULL,9,NULL,8
Ppif,2,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,16,NULL,NULL,NULL
Ppp1r9b,1,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prdm16,1,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL
Psmb2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Psmd5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL
Zmpste24,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,16,NULL,NULL
Unc5b,2,NULL,NULL,NULL,4,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL
Parp2,2,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,1,NULL,NULL,NULL
Pdgfd,3,23,22,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL
Osmr,2,22,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Pde6g,1,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Plod1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,17,NULL,NULL
Psmb6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Ptprb,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,18,NULL,NULL,NULL
Ptprg,1,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Slc7a9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Stam2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Stk39,2,NULL,NULL,20,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Rap2a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Rdh5,3,NULL,NULL,NULL,NULL,4,NULL,6,NULL,NULL,19,NULL,NULL
Rnf8,2,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
Serpinb9,4,NULL,NULL,NULL,NULL,22,NULL,NULL,22,3,NULL,23,NULL
Map4k4,6,21,2,3,NULL,NULL,NULL,NULL,NULL,0,4,NULL,1
Mpp5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Mus81,2,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,19,NULL,NULL,NULL
Tdp1,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Impdh1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Jam2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,17,NULL,NULL
Klf9,8,8,9,9,11,NULL,10,NULL,NULL,5,12,9,NULL
Usp9y,1,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Whrn,1,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL
Nkx6-2,1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
Nupr1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Cplx2,2,NULL,NULL,NULL,NULL,11,NULL,NULL,8,NULL,NULL,NULL,NULL
Csda,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL
Cth,2,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Dkk2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Dvl3,2,NULL,NULL,10,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
Epb4.1l1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Etf1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Eya2,1,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL
Ifrd1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,16,NULL,NULL
Arl6ip5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Atp8b1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Baz1b,4,15,NULL,NULL,19,NULL,18,NULL,NULL,NULL,16,NULL,NULL
Bcap31,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
C7,1,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ccl27a,2,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL
Ccs,2,NULL,9,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cd68,2,6,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cep290,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Chd3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL
Cops6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Cysltr2,2,NULL,NULL,NULL,0,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Elovl4,1,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hdlbp,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Herpud1,9,10,11,NULL,NULL,14,16,NULL,12,12,11,13,12
Hnrnpf,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Hps4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Gcdh,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Nde1,2,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Tet2,3,NULL,NULL,NULL,NULL,5,NULL,6,NULL,22,NULL,NULL,NULL
Tpr,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Shb,2,NULL,8,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Snw1,5,NULL,13,17,NULL,NULL,NULL,NULL,13,NULL,11,NULL,13
Srsf6,2,NULL,NULL,NULL,NULL,NULL,4,NULL,22,NULL,NULL,NULL,NULL
Stx3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,13,NULL,NULL
Sub1,1,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sulf1,4,17,NULL,20,NULL,NULL,14,NULL,18,NULL,NULL,NULL,NULL
Phb2,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Plxna4,2,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Ppl,6,10,NULL,18,NULL,NULL,12,NULL,NULL,15,12,11,NULL
Ppp2r1b,3,NULL,NULL,NULL,NULL,NULL,NULL,22,22,0,NULL,NULL,NULL
Prkg2,2,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Pum1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9
Rab6a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Rad51c,4,19,NULL,NULL,NULL,NULL,NULL,22,18,19,NULL,NULL,NULL
Magi2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Mbnl1,4,NULL,NULL,23,19,NULL,NULL,NULL,NULL,11,NULL,NULL,23
Med14,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,14,14,NULL,NULL
Mknk1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,11,NULL,NULL
Mtdh,1,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL
Rarres2,2,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Rfc3,3,NULL,NULL,3,NULL,NULL,6,NULL,NULL,2,NULL,NULL,NULL
Ilf2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL
Itga8,3,6,NULL,NULL,NULL,NULL,NULL,NULL,5,4,NULL,NULL,NULL
Ldb2,2,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,7,NULL,NULL
Lipa,3,NULL,NULL,NULL,NULL,NULL,11,NULL,12,21,NULL,NULL,NULL
Litaf,9,1,0,2,NULL,2,1,NULL,0,23,0,NULL,3
Uba52,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Umps,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Usp14,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Vnn1,2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Wwtr1,2,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,8,NULL,NULL,NULL
Mkks,4,NULL,NULL,NULL,20,NULL,NULL,19,20,NULL,18,NULL,NULL
Sipa1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,0,NULL
Slc19a2,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,14,NULL,NULL
Snrpd2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Sp4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
Spop,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,20,NULL,NULL
Srrm1,1,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St3gal5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,22
Nid2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,22,16,NULL,NULL
Ogn,3,NULL,NULL,NULL,NULL,NULL,10,NULL,20,NULL,21,NULL,NULL
Sun1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Tbpl1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Terf2ip,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,18,NULL,NULL
Phka1,2,NULL,NULL,NULL,19,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL
Phka2,3,9,NULL,NULL,NULL,NULL,NULL,NULL,10,4,NULL,NULL,NULL
Ppp2r5d,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Prkd3,3,4,NULL,NULL,NULL,NULL,NULL,NULL,4,5,NULL,NULL,NULL
Psmb3,1,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL
Psmd12,2,NULL,NULL,NULL,21,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Ramp2,6,9,10,11,NULL,15,NULL,13,NULL,NULL,13,NULL,NULL
Pfkp,7,23,1,2,NULL,NULL,2,NULL,21,NULL,NULL,23,23
Pgd,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,22
Lgr5,1,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lilrb3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Zbtb7b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Rtkn,2,NULL,NULL,NULL,NULL,14,NULL,NULL,14,NULL,NULL,NULL,NULL
Sbds,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,14,NULL,NULL
Sema6a,2,NULL,NULL,NULL,4,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Fmn1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Gart,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,10,NULL,NULL
Gata5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Gfpt1,3,16,NULL,4,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Cnbp,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Cox4i1,2,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Cxcr7,2,NULL,NULL,NULL,NULL,NULL,20,NULL,19,NULL,NULL,NULL,NULL
Cygb,5,NULL,NULL,12,NULL,NULL,11,NULL,NULL,NULL,10,10,10
Abca3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Bhlha15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL
Cct3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,20,NULL,NULL,NULL
Cd200r1,1,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chn2,2,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Hmgn2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,10,NULL,NULL
Ehd1,3,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,18,NULL,NULL,21
Elk3,7,22,NULL,NULL,NULL,NULL,0,NULL,0,23,2,0,23
Aqp7,5,7,6,7,NULL,NULL,2,NULL,NULL,NULL,NULL,0,NULL
Agfg1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,14,NULL,NULL
Alas1,5,10,NULL,NULL,NULL,NULL,NULL,NULL,14,12,11,NULL,15
Ap1s1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Bach2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Abcc5,5,NULL,NULL,22,22,22,NULL,22,NULL,NULL,NULL,NULL,0
Ablim1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Acadl,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Fdps,5,18,23,23,NULL,NULL,NULL,NULL,22,23,NULL,NULL,NULL
Gba2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,9,NULL,NULL
Gfer,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Ggta1,1,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL
Cldn8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Ctf1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Cyp51,2,NULL,21,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL
Dnase2a,2,6,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Dut,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Elmo1,3,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,21,11,NULL,NULL
Epha6,2,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Epha8,1,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cdkl5,2,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Celsr2,4,8,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,11
Gstt2,7,8,10,11,NULL,NULL,10,NULL,7,NULL,8,NULL,10
Heph,1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hnrnpm,5,18,NULL,NULL,21,22,NULL,20,22,NULL,NULL,NULL,NULL
Rbmx,2,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,23,NULL,NULL,NULL
Rnf4,2,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Rps6kb2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Ryk,3,NULL,NULL,22,NULL,NULL,NULL,NULL,19,NULL,17,NULL,NULL
Psmd6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
