"","x"
"656","GABRQ"
"657","USP49"
"658","CYTL1"
"659","ABCA5"
"660","NXT2"
"661","TMEM55B"
"662","ELP5"
"663","KLHL7"
"664","MKKS"
"665","CAMKK1"
"666","PDZRN3"
"667","PCDHB6"
"668","TERF2IP"
"669","MOV10"
"670","PCDH18"
"671","MTMR12"
"672","SDK2"
"673","DLL4"
"674","PLEKHA3"
"675","GTPBP2"
"676","COLQ"
"677","KIAA1217"
"678","ASAH1"
"679","GKAP1"
"680","EIF4ENIF1"
"681","RPRM"
"682","LAMTOR3"
"683","MGST1"
"684","C1QTNF1"
"685","RNASE4"
"686","AGPAT3"
"687","EMC7"
"688","SEMA3G"
"689","YAE1D1"
"690","ARHGAP31"
"691","ANKH"
"692","AVEN"
"693","KIAA1191"
"694","MCOLN1"
"695","CMPK2"
"696","ZNF467"
"697","RIPK4"
"698","RAB22A"
"699","UBR4"
"700","PREX1"
"701","ZNF687"
"702","TSHZ3"
"703","ZBTB4"
"704","CACHD1"
"705","GBA2"
"706","ART4"
"707","JAM2"
"708","SH3KBP1"
"709","SENP2"
"710","PDLIM2"
"711","PHLPP1"
"712","FADS3"
"713","AVPI1"
"714","FN3KRP"
"715","CABLES1"
"716","SDF2L1"
"717","GPR88"
"718","PCIF1"
"719","POPDC2"
"720","NOD2"
"721","ABHD8"
"722","ARAP3"
"723","MTMR14"
"724","ADCY5"
"725","TNS1"
"726","MICAL1"
"727","CERK"
"728","NT5DC2"
"729","VPS33A"
"730","IRAK1BP1"
"731","ADCK3"
"732","STARD5"
"733","MESDC2"
"734","SLC44A4"
"735","ABCB6"
"736","ZDHHC16"
"737","MIS12"
"738","ZFYVE21"
"739","KCTD15"
"740","PRRG3"
"741","FAM188A"
"742","CCDC127"
"743","CMTM3"
"744","PLEKHF1"
"745","PRR15L"
"746","CRELD2"
"747","NDUFS7"
"748","SUN1"
"749","WBSCR27"
"750","NKAIN1"
"751","ACSS3"
"752","SH3TC2"
"753","FAM184A"
"754","HSPBAP1"
"755","PARP8"
"756","SAP30L"
"757","MORC4"
"758","NSUN7"
"759","RABL6"
"760","FBXO31"
"761","MMRN2"
"762","CLMP"
"763","LONRF3"
"764","SNX22"
"765","HDAC11"
"766","PLBD1"
"767","MORN1"
"768","C2orf54"
"769","DENND1C"
"770","CEP76"
"771","POF1B"
"772","PLEKHH3"
"773","TMEM62"
"774","MCF2L"
"775","LRRC8E"
"776","EDC3"
"777","USP36"
"778","SPSB1"
"779","CCDC92"
"780","ALPK1"
"781","RNF39"
"782","SHARPIN"
"783","SKA2"
"784","FBXO36"
"785","NUDT14"
"786","NICN1"
"787","ANAPC16"
"788","ALKBH7"
"789","ACOT11"
"790","LRRC57"
"791","MCM8"
"792","TCEAL8"
"793","DCBLD1"
"794","MAP1LC3A"
"795","TMEM170A"
"796","HINT3"
"797","NHLRC2"
"798","PXDC1"
"799","MMACHC"
"800","FAM69A"
"801","NANP"
"802","RFFL"
"803","FAM132A"
"804","HOGA1"
"805","FIBIN"
"806","MRPL24"
"807","NUDT22"
"808","TLCD1"
"809","PPP1R14A"
"810","LURAP1L"
"811","MRPL52"
"812","KIAA1715"
"813","ARAP1"
"814","IYD"
"815","PGM2L1"
"816","FSIP1"
"817","RNF215"
"818","PAQR7"
"819","ENDOD1"
"820","NKD2"
"821","PEAR1"
"822","C10orf107"
"823","ZBTB8A"
"824","CBY1"
"825","STK40"
"826","DYNLRB2"
"827","PCGF5"
"828","ERP44"
"829","IL34"
"830","FAM49A"
"831","ARSK"
"832","MMAB"
"833","HTRA3"
"834","CYGB"
"835","SETD7"
"836","SLC38A1"
"837","KANK3"
"838","TDRD3"
"839","C1orf21"
"840","JDP2"
"841","CDADC1"
"842","TRIM8"
"843","PPP1R14C"
"844","ADAMTS12"
"845","APH1B"
"846","PIK3AP1"
"847","BICC1"
"848","CRISPLD1"
"849","SESN2"
"850","MARVELD1"
"851","CECR6"
"852","C1QTNF2"
"853","RAB34"
"854","NRG4"
"855","TMPRSS13"
"856","FBXO30"
"857","LOXL4"
"858","TMEM117"
"859","ZMYND12"
"860","CCDC135"
"861","GARNL3"
"862","FAM120B"
"863","AFAP1L2"
"864","DAB2IP"
"865","MCEE"
"866","COX4I2"
"867","PYROXD2"
"868","GPR124"
"869","ADO"
"870","FAM73B"
"871","DIRC2"
"872","SPRYD3"
"873","LSM10"
"874","TOX2"
"875","SIGLEC10"
"876","PHOSPHO1"
"877","MPV17L"
"878","PUSL1"
"879","ENGASE"
"880","SLC26A11"
"881","WDR81"
"882","RDH10"
"883","TRIM7"
"884","TNKS1BP1"
"885","CTTNBP2"
"886","DISP1"
"887","CARD9"
"888","IGSF8"
"889","SNX18"
"890","PIK3IP1"
"891","MBD6"
"892","SLC26A9"
"893","CYYR1"
"894","EGLN2"
"895","SNAP47"
"896","THEM4"
"897","SELM"
"898","MTA3"
"899","KLHDC3"
"900","SESN3"
"901","RNF145"
"902","TMEM57"
"903","METTL20"
"904","DYNC2H1"
"905","FLCN"
"906","MMAA"
"907","LPCAT3"
"908","SLC41A1"
"909","ACER2"
"910","RASGRP3"
"911","SEPSECS"
"912","HIBADH"
"913","PPAP2B"
"914","STK35"
"915","RBM45"
"916","MMGT1"
"917","RILPL1"
"918","RASGRP4"
"919","SLC39A4"
"920","LIN52"
"921","P2RY14"
"922","MLC1"
"923","ERG"
"924","CCBE1"
"925","ATP6V1C2"
"926","DESI1"
"927","PHLDB1"
"928","ATHL1"
"929","RWDD4"
"930","TBCEL"
"931","TBC1D25"
"932","SEMA6D"
"933","KAZN"
"934","IL17D"
"935","CDAN1"
"936","OSGIN1"
"937","SYTL5"
"938","ANKRD54"
"939","NETO1"
"940","MAPK15"
"941","ADAMTS17"
"942","TMEM150A"
"943","PQLC3"
"944","GPR155"
"945","C16orf52"
"946","TMEM192"
"947","ANGEL2"
"948","RFTN2"
"949","TOR1AIP2"
"950","AARD"
"951","UBXN2A"
"952","MUC20"
"953","GPRC6A"
"954","ANKRD9"
"955","CPT1C"
"956","C16orf89"
"957","ZNF385B"
"958","WDSUB1"
"959","CCDC112"
"960","AK8"
"961","LRRN4"
"962","TBATA"
"963","CADM2"
"964","SYT14"
"965","NPW"
"966","FBXW8"
"967","TTC39A"
"968","PODN"
"969","SNX14"
"970","GPR97"
"971","SLC6A15"
"972","DCAF15"
"973","ZSWIM4"
"974","FAM126B"
"975","TXNDC16"
"976","GRAMD4"
"977","LIN54"
"978","GRAMD1B"
"979","ZC3H12D"
"980","L3MBTL3"
"981","ANKRD52"
"982","ZNF697"
"983","KANK4"
"984","ARHGAP28"
"985","TMEM171"
"986","FAM117B"
"987","VKORC1L1"
"988","ARHGEF15"
"989","ZNF707"
"990","TCTEX1D4"
"991","C12orf29"
"992","WDR27"
"993","HECTD3"
"994","UPK3B"
"995","ELFN1"
"996","NR2C2AP"
"997","C12orf68"
"998","FAM198A"
"999","CCDC60"
"1000","TMEM108"
"1001","DPY19L3"
"1002","IGSF10"
"1003","MUSTN1"
"1004","ARHGAP30"
"1005","FAM101B"
"1006","GPR18"
"1007","CCDC88C"
"1008","SECISBP2L"
"1009","ARHGAP20"
"1010","KDM6B"
"1011","SLAIN2"
"1012","SIPA1L2"
"1013","RUSC2"
